,UPBRM,UPBR,UPBRT,UPBRS,UPBRM_normal,UPBR_normal,UPBRT_normal,UPBRS_normal,UPBRM_quick,UPBR_quick,UPBRT_quick,UPBRS_quick
Mk01,41.0,41.9,0.19378459453582764,11.7,40.0,40.3,0.4850594997406006,47.9,40.0,41.3,0.5147234916687011,18.1
Mk02,28.0,29.3,0.21273107528686525,29.2,27.0,27.8,0.5662418365478515,27.0,28.0,28.1,0.5912724018096924,30.0
Mk03,204.0,204.0,0.40577147006988523,1.1,204.0,204.0,5.947876119613648,1.0,204.0,204.0,1.0491920709609985,1.0
Mk04,66.0,66.6,0.3180494785308838,31.6,64.0,65.5,1.0478079319000244,48.5,62.0,64.2,1.0398695468902588,63.0
Mk05,175.0,178.6,0.385269832611084,52.8,174.0,175.7,0.766961932182312,54.1,173.0,175.3,1.1486785411834717,63.9
Mk06,66.0,69.4,0.5995095729827881,67.7,62.0,64.5,3.6395047903060913,70.0,64.0,65.5,1.7824342489242553,70.9
Mk07,145.0,149.5,0.39404773712158203,52.1,144.0,145.4,1.4271035194396973,49.7,144.0,145.9,1.0235164642333985,40.5
Mk08,523.0,523.0,0.588027048110962,9.4,523.0,523.0,3.246458911895752,7.9,523.0,523.0,1.5753997325897218,8.3
Mk09,311.0,312.7,1.1752261400222779,104.6,310.0,310.9,7.582645916938782,31.8,310.0,310.8,2.55854012966156,65.5
