,UPBRM,UPBR,UPBRT,UPBRS,UPBRM_normal,UPBR_normal,UPBRT_normal,UPBRS_normal,UPBRM_quick,UPBR_quick,UPBRT_quick,UPBRS_quick
data,,,,,,,,,,,,
Mk01,51.0,51.14,0.3073008918762207,25.32,51.0,51.2,0.5920180702209472,16.02,51.0,51.12,0.4830854082107544,21.46
