,UPBRM,UPBR,UPBRT,UPBRS,UPBRM_one,UPBR_one,UPBRT_one,UPBRS_one,UPBRM_two,UPBR_two,UPBRT_two,UPBRS_two,UPBRM_both,UPBR_both,UPBRT_both,UPBRS_both
Mk01,41.0,41.666666666666664,0.6222153584162394,14.366666666666667,40.0,40.43333333333333,0.8152369340260823,63.733333333333334,41.0,41.733333333333334,1.6267773628234863,24.1,40.0,40.46666666666667,1.6990545749664308,61.36666666666667
Mk02,29.0,29.5,0.6124175071716309,33.7,27.0,28.566666666666666,0.8270807981491088,22.566666666666666,28.0,29.533333333333335,1.7270184914271036,26.733333333333334,26.0,28.133333333333333,1.8619435469309489,24.7
Mk03,204.0,204.0,1.5425223350524901,1.0,204.0,204.0,3.8950319925944012,1.0,204.0,204.0,4.488551537195842,1.0,204.0,204.0,6.197147846221924,1.0
Mk04,62.0,66.0,0.9411061604817709,45.1,62.0,65.0,1.3400010903676352,58.5,62.0,66.13333333333334,2.9748923699061076,33.8,62.0,65.7,3.258508539199829,40.96666666666667
Mk05,177.0,179.06666666666666,0.9774083852767944,95.53333333333333,174.0,177.16666666666666,1.2208538929621378,67.93333333333334,176.0,178.63333333333333,3.0598150730133056,75.6,175.0,176.96666666666667,3.1276381095250447,53.4
Mk06,65.0,68.66666666666667,1.394511103630066,79.26666666666667,63.0,65.4,2.186872204144796,65.2,66.0,69.0,8.295838713645935,66.26666666666667,63.0,65.23333333333333,8.745756761233013,66.46666666666667
Mk07,147.0,151.03333333333333,0.9903057654698689,37.9,140.0,146.06666666666666,1.4163972377777099,48.63333333333333,146.0,151.1,2.6797804991404215,35.1,145.0,146.0,3.0316536982854205,61.36666666666667
Mk08,523.0,523.0,2.0680897792180377,7.466666666666667,523.0,523.0,3.674899776776632,5.9,523.0,523.0,7.218831094106038,3.7,523.0,523.0,8.392028053601583,3.3666666666666667
Mk09,311.0,313.1666666666667,2.2337095816930135,90.46666666666667,307.0,310.7,5.280049602190654,33.06666666666667,310.0,312.06666666666666,9.675996192296346,79.83333333333333,309.0,310.8,16.39965073267619,26.666666666666668
