,UPBRM,UPBR,UPBRT,UPBRS,UPBRM_one,UPBR_one,UPBRT_one,UPBRS_one,UPBRM_two,UPBR_two,UPBRT_two,UPBRS_two,UPBRM_both,UPBR_both,UPBRT_both,UPBRS_both
Mk01,40.0,41.93333333333333,0.334008518854777,3.6333333333333333,40.0,41.3,0.39660765329996744,16.7,42.0,42.03333333333333,1.2525684356689453,1.5666666666666667,40.0,41.2,1.0346057971318563,25.1
Mk02,28.0,29.6,0.24902369181315104,31.266666666666666,27.0,28.466666666666665,0.40184874534606935,30.4,28.0,29.733333333333334,1.2607420682907104,32.1,28.0,28.4,1.1292177279790243,23.733333333333334
Mk03,204.0,204.0,0.6764440298080444,1.1333333333333333,204.0,204.0,2.047565221786499,1.0,204.0,204.0,7.3017458120981855,1.0,204.0,204.0,7.511815961201986,1.0
Mk04,63.0,66.93333333333334,0.4728615522384644,22.7,63.0,66.0,0.7642040411631267,30.733333333333334,62.0,66.4,2.3992867787679035,21.566666666666666,60.0,65.7,2.870947527885437,28.566666666666666
Mk05,178.0,181.36666666666667,0.4203917900721232,32.2,176.0,177.76666666666668,0.642505391438802,54.86666666666667,175.0,180.4,4.611416331926981,28.5,176.0,177.43333333333334,4.929470626513163,33.56666666666667
Mk06,67.0,70.3,0.6282368818918864,55.766666666666666,64.0,66.36666666666666,1.0768810828526816,63.666666666666664,67.0,69.5,4.1271946907043455,55.13333333333333,63.0,65.36666666666666,4.764008680979411,56.46666666666667
Mk07,145.0,152.3,0.471161413192749,44.666666666666664,145.0,148.46666666666667,0.7419738372166952,44.86666666666667,146.0,152.13333333333333,4.325946799914042,41.833333333333336,144.0,146.73333333333332,4.590359910329183,47.333333333333336
Mk08,523.0,523.0,1.1681624889373778,8.333333333333334,523.0,523.0,1.9267587264378865,6.7,523.0,523.0,17.899395751953126,1.4666666666666666,523.0,523.0,17.62782382965088,1.3666666666666667
Mk09,311.0,316.43333333333334,1.0810458739598592,74.36666666666666,310.0,311.3,2.80955757300059,41.1,310.0,313.8,16.876519020398458,62.56666666666667,310.0,311.03333333333336,18.162942624092103,30.066666666666666
