,UPBRM,UPBR,UPBRT,UPBRS,UPBRM_normal,UPBR_normal,UPBRT_normal,UPBRS_normal,UPBRM_quick,UPBR_quick,UPBRT_quick,UPBRS_quick
data,,,,,,,,,,,,
Mk01,51.0,51.35,0.2232493305206299,13.21,51.0,51.11,0.503317973613739,11.11,51.0,51.11,0.37349778413772583,16.13
