,UPBRM,UPBR,UPBRT,UPBRS,UPBRM_normal,UPBR_normal,UPBRT_normal,UPBRS_normal,UPBRM_quick,UPBR_quick,UPBRT_quick,UPBRS_quick
data,,,,,,,,,,,,
Mk01,51.0,51.98,0.06088117837905884,11.7,51.0,51.41,0.13272655487060547,11.78,51.0,51.59,0.09898558855056763,12.13
