,UPBRM,UPBR,UPBRT,UPBRS,UPBRM_normal,UPBR_normal,UPBRT_normal,UPBRS_normal,UPBRM_quick,UPBR_quick,UPBRT_quick,UPBRS_quick
data,,,,,,,,,,,,
Mk01,51.0,51.86,0.06237400531768799,17.39,51.0,51.53,0.11510066747665405,14.83,51.0,51.62,0.1016741394996643,15.54
