,UPBRM,UPBR,UPBRT,UPBRS,UPBRM_one,UPBR_one,UPBRT_one,UPBRS_one,UPBRM_two,UPBR_two,UPBRT_two,UPBRS_two,UPBRM_both,UPBR_both,UPBRT_both,UPBRS_both
Mk01,41.0,41.93333333333333,0.9707420508066813,3.0,40.0,40.766666666666666,1.8156829675038655,27.9,41.0,41.96666666666667,1.5660664637883503,1.7666666666666666,40.0,40.7,1.749761168162028,54.7
Mk02,28.0,29.466666666666665,1.2707696517308553,30.0,27.0,28.133333333333333,2.213174851735433,25.2,28.0,28.866666666666667,1.535117769241333,25.8,27.0,28.133333333333333,1.9150986750920613,27.4
Mk03,204.0,204.0,2.9189375241597495,1.0,204.0,204.0,7.131601190567016,1.0,204.0,204.0,6.645647025108337,1.0,204.0,204.0,15.848397016525269,1.0
Mk04,61.0,65.9,1.8237802028656005,64.16666666666667,61.0,64.96666666666667,2.4176098982493084,86.63333333333334,62.0,64.86666666666666,2.5376416047414145,72.06666666666666,61.0,64.16666666666667,4.679334441820781,76.86666666666666
Mk05,176.0,179.23333333333332,2.028200626373291,73.53333333333333,176.0,177.0,2.0981279691060384,76.13333333333334,176.0,178.06666666666666,2.6652681191762286,38.93333333333333,174.0,176.26666666666668,3.3780112902323407,35.03333333333333
Mk06,65.0,67.86666666666666,2.7364504893620807,75.5,61.0,64.66666666666667,3.853090937932332,68.33333333333333,64.0,68.03333333333333,4.566748897234599,78.13333333333334,62.0,64.6,6.65559462706248,61.93333333333333
Mk07,145.0,149.0,1.9963395516077678,68.53333333333333,144.0,145.4,2.626990540822347,67.93333333333334,144.0,148.73333333333332,2.8216787417729696,70.7,143.0,145.26666666666668,3.974981991449992,60.6
Mk08,523.0,523.0,4.18539498647054,6.133333333333334,523.0,523.0,7.643670479456584,5.4,523.0,523.0,9.993223174413044,1.3666666666666667,523.0,523.0,17.517108345031737,1.4333333333333333
Mk09,307.0,312.0,4.537125126520793,85.93333333333334,307.0,310.8,9.383573563893636,35.733333333333334,309.0,311.96666666666664,12.59881534576416,60.56666666666667,307.0,310.6333333333333,37.29699236551921,32.333333333333336
