,UPBRM,UPBR,UPBRT,UPBRS,UPBRM_one,UPBR_one,UPBRT_one,UPBRS_one,UPBRM_two,UPBR_two,UPBRT_two,UPBRS_two,UPBRM_both,UPBR_both,UPBRT_both,UPBRS_both
Mk01,40.0,41.93333333333333,1.0677916526794433,3.3,40.0,40.766666666666666,1.4572692155838012,40.1,41.0,41.86666666666667,1.5267975727717082,2.5,40.0,40.6,1.8105685393015543,41.266666666666666
Mk02,28.0,29.166666666666668,1.0617290337880452,44.43333333333333,28.0,28.233333333333334,1.504102341334025,27.4,28.0,29.2,1.5687729597091675,38.46666666666667,26.0,27.966666666666665,1.855642811457316,28.133333333333333
Mk03,204.0,204.0,2.7017602841059367,1.0,204.0,204.0,6.8043975273768105,1.0,204.0,204.0,6.546103525161743,1.0,204.0,204.0,11.489064606030782,1.0
Mk04,61.0,65.86666666666666,1.6405328432718913,57.36666666666667,62.0,64.76666666666667,2.3116825342178347,79.36666666666666,62.0,65.23333333333333,2.546216678619385,78.4,61.0,64.33333333333333,3.5486116647720336,80.83333333333333
Mk05,176.0,179.2,1.6781767845153808,54.2,175.0,177.1,2.1804577747980756,99.46666666666667,176.0,178.4,2.669645810127258,42.0,173.0,176.26666666666668,3.12808465162913,37.53333333333333
Mk06,65.0,68.7,2.4824524482091266,72.0,62.0,64.63333333333334,3.755727767944336,79.16666666666667,65.0,68.36666666666666,4.799365941683451,64.23333333333333,62.0,64.76666666666667,6.4112666289011635,74.46666666666667
Mk07,145.0,149.76666666666668,1.7220343748728435,60.2,144.0,145.06666666666666,2.5073049863179526,59.43333333333333,144.0,149.43333333333334,2.872621210416158,58.5,143.0,145.1,3.8823047240575153,53.9
Mk08,523.0,523.0,3.7383703788121543,6.066666666666666,523.0,523.0,7.453620592753093,5.2,523.0,523.0,10.29244905312856,1.6,523.0,523.0,14.258972724278768,1.7666666666666666
Mk09,311.0,312.2,3.811395613352458,85.9,307.0,310.53333333333336,9.524440097808839,44.0,310.0,311.8666666666667,13.345163710912068,57.6,307.0,310.56666666666666,21.170698698361715,27.566666666666666
