,UPBRM,UPBR,UPBRT,UPBRS,UPBRM_one,UPBR_one,UPBRT_one,UPBRS_one,UPBRM_two,UPBR_two,UPBRT_two,UPBRS_two,UPBRM_both,UPBR_both,UPBRT_both,UPBRS_both
Mk01,41.0,41.96666666666667,0.2549202044804891,3.6666666666666665,40.0,41.233333333333334,0.3359403689702352,21.4,41.0,41.96666666666667,0.3713204860687256,3.033333333333333,40.0,41.166666666666664,0.45627106030782066,28.9
Mk02,28.0,29.866666666666667,0.29712982177734376,32.13333333333333,28.0,28.733333333333334,0.3441015720367432,30.166666666666668,29.0,29.8,0.40926419099171957,26.933333333333334,27.0,28.6,0.46013565063476564,27.266666666666666
Mk03,204.0,204.0,0.6687156438827515,1.1,204.0,204.0,1.7625542720158895,1.0,204.0,204.0,1.6406236648559571,1.0,204.0,204.0,4.047574289639791,1.0
Mk04,64.0,66.66666666666667,0.43078515529632566,20.666666666666668,63.0,66.3,0.6190149943033855,26.433333333333334,65.0,66.6,0.6566893021265666,19.233333333333334,61.0,65.93333333333334,0.7701236804326376,27.966666666666665
Mk05,177.0,181.16666666666666,0.39240778287251793,39.333333333333336,175.0,178.43333333333334,0.5645760774612427,43.96666666666667,177.0,180.1,0.7297479232152303,34.9,175.0,177.33333333333334,0.781771985689799,30.533333333333335
Mk06,64.0,70.73333333333333,0.6122820138931274,59.2,64.0,66.03333333333333,1.024210786819458,52.1,66.0,70.13333333333334,1.1904151995976766,51.93333333333333,62.0,65.6,1.4137542406717936,53.833333333333336
Mk07,147.0,152.9,0.4857536633809408,38.56666666666667,145.0,147.6,0.7005306959152222,46.03333333333333,146.0,153.0,0.7739218791325887,36.833333333333336,145.0,146.33333333333334,0.8947852452596029,38.3
Mk08,523.0,523.0,0.884758710861206,8.033333333333333,523.0,523.0,1.7831089655558268,6.8,523.0,523.0,2.4621848662694297,1.8,523.0,523.0,3.204091779390971,1.8
Mk09,311.0,316.1666666666667,0.9694762070973714,68.86666666666666,307.0,311.3,2.4777488231658937,37.266666666666666,311.0,315.1333333333333,3.2153519789377847,50.733333333333334,309.0,310.8666666666667,4.547319825490316,30.433333333333334
