,UPBRM,UPBR,UPBRT,UPBRS,UPBRM_normal,UPBR_normal,UPBRT_normal,UPBRS_normal,UPBRM_quick,UPBR_quick,UPBRT_quick,UPBRS_quick
Mk01,41.0,41.96666666666667,0.16439369519551594,4.966666666666667,40.0,40.53333333333333,0.34667728741963705,50.733333333333334,40.0,40.9,0.4434631824493408,29.7
Mk02,28.0,29.266666666666666,0.1597580035527547,25.533333333333335,27.0,28.1,0.49559346040089924,27.7,27.0,27.9,0.4545186996459961,35.733333333333334
Mk03,204.0,204.0,0.4034537474314372,1.0333333333333334,204.0,204.0,6.146996879577637,1.0,204.0,204.0,1.057747475306193,1.0666666666666667
Mk04,64.0,66.43333333333334,0.2425016403198242,29.633333333333333,62.0,65.43333333333334,0.752444847424825,43.0,63.0,65.83333333333333,0.6542581558227539,34.5
Mk05,176.0,179.73333333333332,0.25776081879933677,41.733333333333334,173.0,175.03333333333333,0.5652459780375163,59.56666666666667,173.0,176.23333333333332,0.717384155591329,54.333333333333336
Mk06,65.0,68.0,0.3639106273651123,61.1,62.0,64.9,2.341676672299703,54.2,63.0,65.33333333333333,1.0457057714462281,55.9
Mk07,143.0,149.73333333333332,0.2641602118810018,32.96666666666667,143.0,145.13333333333333,1.0572281042734781,47.46666666666667,144.0,146.16666666666666,0.7382987340291342,40.13333333333333
Mk08,523.0,523.0,0.5429993232091268,9.733333333333333,523.0,523.0,3.06147616704305,6.4,523.0,523.0,1.471308461825053,7.4
Mk09,309.0,313.3333333333333,0.5888005415598552,61.1,307.0,310.6333333333333,6.249021021525065,40.9,311.0,311.23333333333335,1.587396494547526,53.36666666666667
